c3:c5:0a:42:ff:15 -72,-72,-70.33329,-69.74994,-70.19999,-70.50003 -77 6.784027426718149
c4:b8:22:3a:a4:01 -73.80024,-74.4837,-73.32243,-72.74177,-74.59367,-75.66163 -77 6.725677830113117
c6:f1:d8:de:c7:6d -72,-72,-72.33335,-72.25001,-72.2,-72.16666 -77 3.5809907649264847
c8:fb:3a:d4:b7:cf -88.66487,-89.83252,-88.55471,-87.91572,-88.5331,-88.94478 -77 9.065140737183434
cb:87:f2:a7:4a:cd -69,-69.50002,-69.33333,-69.50002,-70.20023,-70.50032 -77 2.043812664375631
ca:e9:21:e1:30:41 -74,-74,-70.99992,-69.24983,-68.39978,-67.66637 -77 3.9498911463181856
d0:58:bb:6b:c5:48 -76,-75.49999,-75.33332,-75.24998,-73.59977,-72.16618 -77 4.861802118095602
cc:31:e5:51:83:cf -73,-73,-73,-73,-74.60026,-75.66714 -77 6.009109651865516
ef:f7:ba:b0:4e:58 -77,-72.99996,-71.6666,-70.99991,-69.7998,-68.833 -77 4.080096075523254
f0:6a:e2:cc:0d:c8 -81.27776,-81.11802,-80.86749,-80.64358,-80.71488,-80.42896 -77 7.589017486128221
f0:c8:b0:2f:c3:6a -73,-72.49999,-72.66667,-72.75002,-73.80019,-74.50034 -77 5.19971700756172
f3:ae:ac:5e:07:79 -76.6,-76.71669,-77.14448,-77.35838,-76.88663,-76.57213 -77 7.853237101212095
f4:6c:81:5c:29:66 -86,-86,-84.99967,-84.49941,-84.79988,-85.16723 -77 5.223746503309518
c3:c5:0a:42:ff:15 -72,-72,-70.33329,-69.49992,-70.2,-70.50005 -77 6.784027426718149
c4:b8:22:3a:a4:01 -71,-68.99998,-67.99997,-69.00003,-69.80009,-70.16679 -77 6.725677830113117
c6:f1:d8:de:c7:6d -72,-72,-72.33335,-72.50003,-72.4,-72.33331 -77 3.5809907649264847
c8:fb:3a:d4:b7:cf -88.66487,-89.24874,-89.01734,-88.7418,-88.70002,-88.74087 -77 9.065140737183434
cc:31:e5:51:83:cf -73,-72.49999,-75.00014,-76.00022,-76.80034,-77.5005 -77 6.009109651865516
d0:58:bb:6b:c5:48 -73,-73,-70.6666,-69.99992,-69.39987,-68.99983 -77 4.861802118095602
ef:f7:ba:b0:4e:58 -77,-77,-74.33318,-72.7497,-73.79997,-74.33347 -77 4.080096075523254
f0:6a:e2:cc:0d:c8 -79,-80.00002,-80.33338,-81.50025,-82.00036,-82.50054 -77 7.589017486128221
f0:c8:b0:2f:c3:6a -72.66667,-72.70834,-73.0723,-73.42934,-72.34334,-71.45262 -77 5.19971700756172
f3:ae:ac:5e:07:79 -76,-75.49999,-75.33332,-74.99996,-74.99997,-75.66677 -77 7.853237101212095
f4:6c:81:5c:29:66 -86,-86,-86.33354,-86.75071,-86.80068,-86.83401 -77 5.223746503309518
c3:c5:0a:42:ff:15 -72,-72,-69.99996,-68.74992,-68.39991,-68.16656 -77 6.784027426718149
c4:b8:22:3a:a4:01 -75,-75,-77.66676,-79.5002,-76.79984,-74.99953 -77 6.725677830113117
c6:f1:d8:de:c7:6d -72,-72,-72.33335,-72.50003,-73.00013,-73.00011 -77 3.5809907649264847
ca:e9:21:e1:30:41 -64,-64,-64,-64,-65.80017,-67.00032 -77 3.9498911463181856
cb:87:f2:a7:4a:cd -73,-71.49996,-70.99994,-70.74992,-70.39983,-70.16643 -77 2.043812664375631
d0:58:bb:6b:c5:48 -69.39987,-69.19985,-68.79989,-68.59991,-68.47991,-68.39992 -77 4.861802118095602
e6:fc:ea:e2:d5:8d -77,-77,-77.33335,-77.50003,-77.40001,-77.33333 -77 7.705927225464507
ef:f7:ba:b0:4e:58 -69,-69,-69,-69,-68.19992,-67.49982 -77 4.080096075523254
f0:c8:b0:2f:c3:6a -67,-67,-69.00007,-69.75011,-71.00024,-72.00039 -77 5.19971700756172
f3:ae:ac:5e:07:79 -74.99997,-75.33337,-75.55559,-75.41668,-75.33334,-75.27777 -77 7.853237101212095
f4:6c:81:5c:29:66 -86.83401,-85.41685,-85.27785,-85.20834,-85.36687,-85.30561 -77 5.223746503309518
c3:c5:0a:42:ff:15 -68.39991,-68.28323,-68.18882,-68.14161,-68.11329,-67.92772 -77 6.784027426718149
c4:b8:22:3a:a4:01 -69,-69,-69,-73.75024,-72.20006,-70.99989 -77 6.725677830113117
c6:f1:d8:de:c7:6d -73.00011,-70.00002,-69.33333,-68.74995,-68.39993,-68.16656 -77 3.5809907649264847
ca:e9:21:e1:30:41 -74,-73.49999,-70.33322,-68.74981,-68.99988,-69.1666 -77 3.9498911463181856
cc:31:e5:51:83:cf -73,-74.50002,-75.00004,-74.49998,-74.19994,-75.50027 -77 6.009109651865516
d0:58:bb:6b:c5:48 -69.19985,-68.99987,-68.86655,-68.76988,-68.69588,-70.24683 -77 4.861802118095602
e6:fc:ea:e2:d5:8d -73,-80.00021,-82.00034,-83.00047,-83.80067,-84.50095 -77 7.705927225464507
ef:f7:ba:b0:4e:58 -77,-77.50002,-77.33333,-76.99994,-77.20001,-76.83317 -77 4.080096075523254
f0:6a:e2:cc:0d:c8 -80,-82.00007,-83.00016,-84.00036,-84.00029,-84.00024 -77 7.589017486128221
f3:ae:ac:5e:07:79 -75,-75,-75.66669,-75.75002,-75.6,-75.16659 -77 7.853237101212095
f4:6c:81:5c:29:66 -82,-82,-82.33339,-82.5001,-82.60014,-82.33321 -77 5.223746503309518
