c8:fb:3a:d4:b7:cf -68.79996,-68.90002,-69.26672,-68.94996,-70.16049,-70.13373 -77 1.4730982833798818
f0:6a:e2:cc:0d:c8 -71,-71.50001,-72.3334,-72,-73.00025,-73.00021 -77 3.004595070418767
f0:c8:b0:2f:c3:6a -84.00008,-84.25029,-84.5674,-84.75935,-85.20802,-84.83935 -77 5.050806873293977
c8:fb:3a:d4:b7:cf -70.16049,-70.14711,-71.43153,-70.32343,-69.65852,-68.88169 -77 1.4730982833798818
cb:87:f2:a7:4a:cd -83,-84.00002,-85.33345,-85.25008,-85.25006,-85.25005 -77 11.92746729291949
f0:6a:e2:cc:0d:c8 -71,-71.25001,-71.61116,-71.70838,-71.96681,-72.13911 -77 3.004595070418767
f3:ae:ac:5e:07:79 -69,-71.00002,-71.33336,-70.74997,-70.74998,-70.74998 -77 3.825211553898658
f4:6c:81:5c:29:66 -86,-81.99992,-80.33318,-79.7498,-79.74984,-79.74987 -77 6.798099032940817
f0:c8:b0:2f:c3:6a -89,-85.9997,-86.66669,-85.49921,-85.49937,-85.49947 -77 5.050806873293977
cb:87:f2:a7:4a:cd -84.00002,-84.66676,-84.86121,-84.95844,-85.01678,-85.34746 -77 11.92746729291949
f0:c8:b0:2f:c3:6a -86.66669,-86.08289,-85.88831,-85.79104,-85.43241,-84.85931 -77 5.050806873293977
f3:ae:ac:5e:07:79 -71.00002,-71.16669,-71.02778,-70.95832,-70.91665,-70.26373 -77 3.825211553898658
c8:fb:3a:d4:b7:cf -70,-68.49995,-70.66691,-71.75047,-70.79994,-70.66653 -77 1.4730982833798818
f0:c8:b0:2f:c3:6a -82,-82.50004,-82.66673,-83.75058,-83.75047,-83.75039 -77 5.050806873293977
f3:ae:ac:5e:07:79 -71.00002,-71.08336,-71.06483,-71.0382,-71.01389,-70.88883 -77 3.825211553898658
c8:fb:3a:d4:b7:cf -68.49995,-69.58347,-70.30589,-70.42943,-70.47687,-69.89701 -77 1.4730982833798818
cb:87:f2:a7:4a:cd -94,-88.99989,-86.99977,-86.2497,-86.24976,-86.2498 -77 11.92746729291949
f0:6a:e2:cc:0d:c8 -72,-80.50026,-77.99992,-76.49963,-79.40076,-78.50013 -77 3.004595070418767
f0:c8:b0:2f:c3:6a -82.50004,-82.58339,-82.97255,-83.16713,-83.28388,-83.73718 -77 5.050806873293977
cb:87:f2:a7:4a:cd -86.99977,-86.62473,-86.49973,-86.43723,-85.54955,-85.12446 -77 11.92746729291949
e6:fc:ea:e2:d5:8d -87,-87.50002,-87.33333,-87.50003,-88.60045,-88.60037 -77 13.307099010125649
